정제: 거기 비쌀까요??	거기 비쌀까요??
정제: 이렇게 큰가	이렇게 큰가.
정제: 작은더 품절 ㅠㅠ	작은 거 품절 ㅠㅠ
정제: 아직안삿어	아직 안 샀어.
정제: 이거어때	이거 어때
정제: 99000원	99000원
정제: 할인받아서	할인 받아서
정제: 얼만데	얼만데
정제: 153000원	153,000원
정제: 장바구니에 안들어가 있는데?	장바구니에 안 들어가 있는데?
정제: 전화 할 때 모 들었어..장바구니 안되고..	전화할 때 뭐 들었어.. 장바구니 안 되고..
정제: 바로 예약결제해야한당게.	바로 예약 결제해야 한다니까.
정제: 레저도 없고	레저도 없고
정제: 투어	투어
정제: 인터파크 - 투어 - 국내항공	인터파크 - 투어 - 국내항공
정제: 아 투어.	아 투어
정제: 없는데 앱에선 안되나	없는데 앱에선 안 되나
정제: 투어 새로 ㄲᆞㄹ았어	투어 새로 깔았어
정제: 앱에 안나오는것 같은디...항공권이..	앱에 안 나오는 것 같은데... 항공권이..
정제: 찾아봐바	찾아봐.
정제: 투어 새로 깔면돼	투어 새로 깔면 돼.
정제: 아니...내 말은 투어에	아니... 내 말은 투어에.
정제: 조회되는데	조회되는데
정제: 혀바바..	해봐..
정제: 경 영믄ㄴ?	그냥 영문?
정제: #@이름#	#@이름#
정제: 인증번호	인증번호
정제: #@번호#	#@번호#
정제: 또	또
정제: #@번호#	#@번호#
정제: 정수기 바꿀까 생각중이야	정수기 바꿀까 생각 중이야.
정제: 어떤걸로 바꾸려고?	어떤 걸로 바꾸려고?
정제: 렌탈 계약 끝나서 더 저렴한걸로 바꾸려고	렌탈 계약 끝나서 더 저렴한 걸로 바꾸려고.
정제: 그래? 한달에 얼마정도 줬어?	그래? 한 달에 얼마 정도 줬어?
정제: 한달에 삼만원은 준거같아	한달에 삼만원은 주는 것 같아.
정제: 와~ 비싸긴 하다	와~ 비싸긴 하다.
정제: 이번에 얼음 나오는걸로 바꿀까 생각중이야	이번에 얼음 나오는 걸로 바꿀까 생각 중이야.
정제: 얼음 나오는거 좋아보이더라	얼음 나오는 거 좋아 보이더라.
정제: 마트아직 안갔지	마트 아직 안 갔지.
정제: 집에오면서 들릴거?	집에 오면서 들릴 거야?
정제: 응 왜	응, 왜?
정제: 뭐살거있어?	뭐 살 거 있어?
정제: 계란한판이랑	계란 한판이랑
정제: 사이다 큰거	사이다 큰 거
정제: 계란 엊그저께샀자나???	계란 엊그저께 샀잖아???
정제: 없어?	없어?
정제: 다먹었는뎅ㅋㅋㅋ계란말이하고 계란찜하고	다 먹었는데ㅋㅋㅋ 계란말이 하고 계란찜 하고.
정제: 금방 다먹던데? 2개남음	금방 다 먹던데? 2개 남음.
정제: 알앗어	알았어
정제: 내 목에 걸려잇는건데	내 목에 걸려 있는데
정제: 요즘 신상이라	요즘 신상이라.
정제: ㅇㅎ	아하
정제: 오케오케 ㅋㅋ	오케이 오케이 ㅋㅋ
정제: 아직 프로토타입만 잇을수도잇는데	아직 프로토타입만 있는 수도 있는데.
정제: 넌 다 줄듯	넌 다 줄듯.
정제: #@이름#이랑 주문하려고	#@이름#이랑 주문하려고.
정제: 나인거 말 안할건데?	나인 거 말 안 할 건데?
정제: 음	음
정제: 충주뜨면	충주 뜨면
정제: 백퍼알걸	100% 알 걸
정제: 너라고 말해야 챙겨줄수잇는거 더 끼워서 보내줄텐뎅	너라고 말해야 챙겨줄 수 있는 거 더 끼워서 보내줄 텐데.
정제: 그려??ㅎㅎ	그래??ㅎㅎ
정제: ㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋ
정제: 흠	흠
정제: ㅇㅋㅇㅋ	오케이 오케이
정제: 알겠어 ㅋ	알겠어 ㅋ
정제: 그칭	그치
정제: #@이름#이나 #@이름#한테 연락해바	#@이름#이나 #@이름#한테 연락해 봐.
정제: 주문은 대충 넣으면	주문은 대충 넣으면.
정제: #@이름#시	#@이름# 씨
정제: 토끼 곰돌이 어떤 것입니까	토끼 곰돌이 어떤 것입니까.
정제: 아 미친 방금 나도 케이스 질르고왔는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	아 미친 방금 나도 케이스 지르고 왔는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 곰돌이!!!!!	곰돌이!!!!!
정제: ㅋㅋㅋㅋㅋㅋㅋ 은근 케이스 자주 지르는 듯하다 너	ㅋㅋㅋㅋㅋㅋㅋ 은근히 케이스 자주 지르는 듯하다 너.
정제: 역시 곰돌이겠지? ㅠㅠ	역시 곰돌이겠지? ㅠㅠ
정제: 둘 다 넘 귀여워서 넘 고민이다	둘 다 너무 귀여워서 너무 고민이다.
정제: 나 쌩폰 들고다닌지 꽤 됐어	나 쌩폰 들고 다닌지 꽤 됐어.
정제: ㅋㅋㅋㅋㅋㅋ케이스 안지른지 삼백년됨..	ㅋㅋㅋㅋㅋㅋ 케이스 안 지른 지 삼백 년 됨..
정제: ㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋ
정제: ㅠ실리콘케이스 집에 몇개있는거 돌려쓰는게 다얀ㅠ	ㅠ 실리콘 케이스 집에 몇 개 있는 거 돌려쓰는 게 다야 ㅠ
정제: 가격 진짜 괜찮은데	가격 진짜 괜찮은데.
정제: 사기 못치게하는법은 없나	사기 못 치게 하는 법은 없나.
정제: 중고나라는 에스크로안됨?	중고나라는 에스크로 안 됨?
정제: 에스크로 어떤사이트가 좋지	에스크로 어떤 사이트가 좋지.
정제: 글삭했네	글 삭제했네.
정제: 사기꾼인갑다	사기꾼인가 보다.
정제: 진행 안해야겠다	진행 안 해야겠다.
정제: 중고나아사기꾼넘나많은것	중고나라 사기꾼 너무나 많은 것
정제: 대화중에	대화 중에
정제: 퍼뜩 생각나서 게시글 누르니까	퍼뜩 생각나서 게시글 누르니까
정제: 얘 로드자전거 매물볼때	얘 로드 자전거 매물 볼 때
정제: 뻘짓하는거 본거같다	뻘짓 하는 거 본 거 같다.
정제: 게시글도 없었음	게시글도 없었어
정제: #@이름#보고	#@이름# 보고
정제: 청주 40만 직거래 해오라케야겠다	청주 40만 직거래 해오라고 해야겠다.
정제: 그게맞다	그게 맞다.
정제: 거래는직거래지	거래는 직거래지.
정제: 편의점도직거래자나	편의점도 직거래잖아
정제: 그치	그치
정제: 아냐	아냐
정제: 편의점은	편의점은
정제: 직거래 아냐	직거래 아냐
정제: 눈 안마주치고 사고나옴	눈 안 마주치고 사고 나옴
정제: 사진도직찍이최고지	사진도 직접 찍는게 최고지.
정제: 중고나라도	중고 나라도
정제: 눈안마주칠수도있음	눈 안 마주 칠 수도 있음.
정제: 무섭다 그건	무섭다 그건
정제: 막 문신형아 나옴 어케	막 문신 형아 나옴 어떡해
정제: 차에서물건만유리창으로넘긴다고	차에서 물건만 유리창으로 넘긴다고
정제: 갠차나	괜찮아
정제: 뭔가 사달라는건 다 사줄거 같은 느낌이야ㅋㅋㅋ	뭔가 사달라는 건 다 사줄 거 같은 느낌이야ㅋㅋㅋ.
정제: #@이모티콘#	#@이모티콘#
정제: 어떻게 알았지...	어떻게 알았지...
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 그럼 나 목걸이 본다아아아아아아	그럼 나 목걸이 본다아아아아아아.
정제: 응응!!!	응응!!!
정제: 이쁜거 골라!!	이쁜 거 골라!!
정제: 응응	응응
정제: 커피마시고 백화점가서 구경하고있을게!	커피 마시고 백화점 가서 구경하고 있을게!
정제: 그러네 근데 5마넌 9마넌에 산 사람들은	그러네, 근데 5만원 9만원에 산 사람들은
정제: 통신사 변경이더라	통신사 변경이더라.
정제: 기기변경은 싸도 15마넌 언저리인가봄	기기 변경은 싸도 15만원 언저리인가 봄.
정제: 그런가봐 그래도 엄마 안바꿀걸	그런가봐 그래도 엄마 안 바꿀 걸.
정제: 요금제때문에?	요금제 때문에?
정제: 엄마 접히는 폰 갖고 싶다고 했었는데 전에	엄마, 접히는 폰 갖고 싶다고 했었는데 전에.
정제: 응	응
정제: 내일 개통 되는가 함 가볼까?	내일 개통되는 지 한번 가볼까?
정제: 한솔애플타워네	한솔 애플 타워네
정제: 응 19만원이고	응 19만원이고.
정제: 요금제도 69네 전거는 더 비쌋지 아너?	요금제도 69네 전거는 더 비쌌지 않아?
정제: 그떄 83인가	그때 83인가.
정제: 그니까	그니까
정제: 내일 물어보자	내일 물어보자.
정제: ㅇㅋㅇㅋ	오케이 오케이
정제: 가방	가방
정제: 3월초까지 배송한다구했으면서	3월 초까지 배송한다고 했으면서
정제: 3월중순으로늘었어	3월 중순으로 늘었어.
정제: 으휴	으휴.
정제: 전화해봐라	전화 해봐라.
정제: 니가 주문한곳에	니가 주문한 곳에
정제: 전화해도 배송일은 똑같을거같애서	전화해도 배송일은 똑같을 거 같아서.
정제: 지금 환불할까말까 고민이지만	지금 환불할까 말까 고민이지만.
정제: 하지않겠어	하지 않겠어.
정제: 전번줘봐	전번 줘봐
정제: 환불해야지	환불 해야지
정제: 이게 뭐야	이게 뭐야.
정제: 왱?	왜?
정제: 환불원하면 환불은 바로 ㅎㅐ준대	환불 원하면 환불은 바로 해준대.
정제: 해야지	해야지.
정제: 그니까	그니까
정제: 그럼 또사지머..	그럼 또 사지 뭐..
정제: 선입금 기간을 기다려야 해여	선입금 기간을 기다려야 해요.
정제: ㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋ
정제: 천만이 봤으면	천만이 봤으면.
정제: 볼 사람은 다 봐서	볼 사람은 다 봐서.
정제: 이제 공개할거예옄ㅋㅋㅋㅋㅋㅋ	이제 공개할 거예요ㅋㅋㅋㅋㅋㅋㅋ
정제: 마자 이제	마자 이제
정제: 천만됫으니까	천만 됐으니까
정제: 올려주시오..	올려 주세요..
정제: 이제는 대부분 재관람이져	이제는 대부분 재관람이죠
정제: 근데 나름 전 뱃지가 예뻤던 사람들 도안은 더 공개된 거 같아	근데 나름 전 뱃지가 예뻤던 사람들 도안은 더 공개된 거 같아.
정제: 그래서 저 둘이.최선일 느띰	그래서 저 둘이 최선일 느낌.
정제: 훔	훔
정제: 일단 전 건틀렛 띰	일단 전 건틀렛 띠었어요.
정제: 어께이여	오케이요
정제: 새로운 거 나오면 알려주께	새로운 거 나오면 알려줄게.
정제: ㅋㅋ나더 종종 찾아봐야징	ㅋㅋ 나도 종종 찾아봐야지.
정제: 아 근데 나 샤워기 필터 사볼까 하다가	아 근데 나 샤워기 필터 사볼까 하다가
정제: 걍 싼 거 써봐도 된다고 해서 만원짜리찾았는데	그냥 싼 거 써봐도 된다고 해서 만원짜리 찾았는데.
정제: 결국에는 뭐여	결국에는 뭐야
정제: 아 근데 더클럽 그거에서 시켰는대	아 근데 더 클럽 그거에서 시켰는데.
정제: 칠천원 쿠폰줘서ㅔ그거도 받았다	칠천원 쿠폰 줘서, 그거도 받았다.
정제: 오 대박	오, 대박!
정제: ㅋㅋㅋㅋㅋ오천원 쿠폰도 받으면	ㅋㅋㅋㅋㅋ 오천원 쿠폰도 받으면.
정제: 나름 현명한 소비라고해줘	나름 현명한 소비라고 해줘.
정제: 굳굳	굳굳
정제: 근데 산게ㅡ모짤렐라치즈	근데 산 게 모짤렐라 치즈.
정제: 계란	계란
정제: 알찬소비	알찬 소비
정제: 물	물
정제: 얼음 잔얼음 그거 한봉지	얼음 잔 얼음 그거 한 봉지
정제: 샤인머스켓	샤인머스켓
정제: 물티슈	물티슈
정제: 김치만두	김치 만두
정제: 끗..	끝..
정제: 만두 쪄먹고	만두 쪄 먹고
정제: 만두 구워먹고	만두 구워 먹고
정제: 만두라면 먹고	만두라면 먹고.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 계란 구워먹고	계란 구워 먹고
정제: #@URL#	#@URL#
정제: 나도 살까?	나도 살까?
정제: ㅇㅇ 저거 계속가격올릴듯	ㅇㅇ 저거 계속 가격 올릴 듯.
정제: 넌능사셩	너는 사셔
정제: 근데 흰색이랑 그린밖에 없어 ㅠㅠ	근데 흰색이랑 그린 밖에 없어 ㅠㅠ
정제: 오오	오오
정제: ㅋㅋㄱㄱ	ㅋㅋ 고고
정제: 흰색사야짐ㅋㅋㄱ	흰색 사야지ㅋㅋㅋ
정제: ㅋㅋㅋㅋㅋㅋㅋㅋ 흰색 때 안 타겠짘ㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋ 흰색 때 안 타겠지ㅋㅋㅋㅋㅋㅋ
정제: 2시이전결제시 당일발송인데	2시 이전 결제 시 당일 발송인데.
정제: 2시에결제하면	2시에 결제하면
정제: 내일발송인걸까	내일 발송인 걸까.
정제: 이전에 포함해줘라	이전에 포함해 줘라.
정제: 이하도 포함이잔아 그 숫자 (억지	이하도 포함이잔아 그 숫자 (억지)
정제: 아니 내일	아니, 내일.
정제: 미만이라고해줬어야지(땡깡	미만이라고 해줬어야지 (땡깡).
정제: 근데 융통성 발휘할지도 몰라	근데 융통성 발휘할지도 몰라.
정제: 제발	제발.
정제: 나 저기서 십마넌썻다고 화장품에	나 저기서 십만원 썼다고 화장품에.
정제: 저나해서 무러바	전화해서 물어봐.
정제: 오늘 아래위 두껍게 보낸거같은데	오늘 아래 위 두껍게 보낸 거 같은데.
정제: 8세용까지 ㅇ나와서	8세 용까지 나와서
정제: 애들 바지사야되	애들 바지 사야 돼.
정제: ㅇㅇ 탑텐에서1+1에 삿는데	ㅇㅇ 탑텐에서 1+1에 샀는데
정제: 19900	19900
정제: 좋앗어	좋았어
정제: 바지?	바지?
정제: ㅇㅇ 면인데 시보리 짱짱하드라	ㅇㅇ 면인데 시보리 짱짱하드라.
정제: 오	오
정제: 이천인데	이천인데.
정제: 애기들 사이즈도 100은 잇지 않을까	애기들 사이즈도 100은 있지 않을까
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 아 귀찮다	아, 귀찮다
정제: #@이름#가 110입어	#@이름# 가 110 입어.
정제: 유니클러 레깅스 조은대	유니클로 레깅스 좋은데
